y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00
45.00,,,,,,,,,,,,,,,,,
40.00,,,,,,,,,,,,,,,,,
35.00,,,,,,,,0.3089,,0.3832,,,,,,,
30.00,,,,,0.0137,,0.0870,,0.7043,,0.2253,,0.0415,,,,
25.00,,,,0.0888,,0.5669,,0.4973,,0.5691,,0.3333,,0.1389,,,
20.00,,,0.1676,,0.6237,,0.2506,,0.5094,,0.7074,,0.6062,,0.0256,,
15.00,,,,0.5109,,0.4452,,0.0623,,0.2362,,0.5159,,0.4552,,0.5021,
10.00,,,0.1467,,0.2174,,0.4492,,0.0171,,0.2364,,0.2069,,0.6301,,
5.00,,,,0.9867,,0.4134,,0.2534,,0.0833,,0.3772,,0.3059,,0.5794,
0.00,,,0.3467,,0.2656,,0.1353,,0.5270,,0.2522,,0.2921,,0.4617,,
-5.00,,,,0.6884,,0.5835,,1.0295,,0.8797,,0.5559,,0.4692,,0.1375,
-10.00,,,0.4200,,0.1396,,0.2104,,0.5792,,0.1642,,0.5220,,0.1735,,
-15.00,,,,0.1207,,0.4753,,0.0355,,0.2195,,0.7130,,0.0333,,,
-20.00,,,0.0280,,0.1722,,0.2353,,0.6257,,0.0903,,0.6430,,0.3470,,
-25.00,,,,0.3579,,0.6360,,0.8637,,0.5824,,0.4262,,0.1956,,,
-30.00,,,,,0.1111,,0.1191,,0.9529,,0.0702,,0.1452,,,,
-35.00,,,,,,0.0568,,0.4489,,0.2097,,,,,,,
-40.00,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,
